requirement_id,status,owner,phase,implementation_ref,test_ref,evidence_ref,threat_ref,blocker,commit,last_updated
G0-NET-01,VERIFIED,Claude/Protocol,G0,,manual curl JSON-RPC,release-evidence/r1/g0/network-verification.json,,,,2026-09-10
G0-NET-02,VERIFIED,Claude/Protocol,G0,,manual curl JSON-RPC,release-evidence/r1/g0/network-verification.json,,,,2026-09-10
G0-NET-03,VERIFIED,Claude/Protocol,G0,,genlayer network info,release-evidence/r1/g0/network-verification.json,,,,2026-09-10
G0-NET-04,VERIFIED,Claude/SDK,G0,,node import genlayer-js chains,release-evidence/r1/g0/network-verification.json,,,,2026-09-10
G0-NET-05,VERIFIED,Claude/SDK,G0,,python import genlayer_py.chains,release-evidence/r1/g0/network-verification.json,,,,2026-09-10
G0-TOOL-01,VERIFIED,Claude/Release,G0,,genlayer --version,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-TOOL-02,VERIFIED,Claude/Release,G0,,npm ls / package.json,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-TOOL-03,VERIFIED,Claude/Release,G0,,pip show genlayer-py,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-TOOL-04,VERIFIED,Claude/Release,G0,,pip show genlayer-test,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-TOOL-05,VERIFIED,Claude/Release,G0,,genvm-lint --version,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-TOOL-06,VERIFIED,Claude/Release,G0,,python3 --version,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-TOOL-07,VERIFIED,Claude/Release,G0,,node -v / npm -v,release-evidence/r1/g0/version-report.txt,,,,2026-09-10
G0-RUN-01,VERIFIED,Claude/Protocol,G0,,genvm-lint check against genvm-manager v0.6.0-rc3/rc4 bundles,toolchain/runner.lock,,,,2026-09-10
G0-RUN-02,VERIFIED,Claude/Protocol,G0,,runner.json manifest read from pinned runner,toolchain/runner.lock,,,,2026-09-10
G0-RUN-03,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint check,release-evidence/r1/g0/smoke-test-report.txt,,,,2026-09-10
G0-LINT-01,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint lint,release-evidence/r1/g0/smoke-test-report.txt,,,,2026-09-10
G0-LINT-02,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint validate,release-evidence/r1/g0/smoke-test-report.txt,,,,2026-09-10
G0-LINT-03,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint schema --json,release-evidence/r1/g0/smoke-schema.json,,,,2026-09-10
G0-LINT-04,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint typecheck --json,release-evidence/r1/g0/smoke-test-report.txt,,CF-007 accepted known limitation,,2026-09-10
G0-TEST-01,VERIFIED,Claude/QA,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,pytest direct_deploy fixture (Direct Mode),release-evidence/r1/g0/direct-mode-report.md,,CF-013 Windows-host caveat worked around via WSL,,2026-09-10
G0-DEP-01,VERIFIED,Claude/Release,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genlayer deploy --fee-profile,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,2026-09-10
G0-DEP-02,VERIFIED,Claude/Release,G0,,genlayer deploy,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,2026-09-10
G0-DEP-03,VERIFIED,Claude/Release,G0,,genlayer receipt,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,2026-09-10
G0-DEP-04,VERIFIED,Claude/Release,G0,,genlayer receipt,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,2026-09-10
G0-DEP-05,VERIFIED,Claude/Release,G0,,genlayer call get_counter (before/after write),release-evidence/r1/g0/deploy-success-pinned/smoke-write-receipt.txt,,,,2026-09-10
G0-FEE-01,VERIFIED,Claude/Release,G0,,genlayer deploy --fee-profile,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,2026-09-10
G0-FEE-02,VERIFIED,Claude/Release,G0,,genlayer write --fee-profile,release-evidence/r1/g0/deploy-success-pinned/smoke-write-receipt.txt,,,,2026-09-10
F0-GIT-01,VERIFIED,Claude/Release,F0,,git init; git log,Phase Log.md,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-STRUCT-01,VERIFIED,Claude/Release,F0,package.json;contracts/;schemas/;policies/;evidence/;tests/,manual structure review,Phase Log.md,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-DEPS-01,VERIFIED,Claude/Release,F0,package.json;requirements.txt,npm install; pip install -r requirements.txt,package-lock.json,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-LOCKS-01,VERIFIED,Claude/Release,F0,toolchain/,diff against G0 locks,toolchain/versions.lock;toolchain/runner.lock;toolchain/network.lock.json,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-GITIGNORE-01,VERIFIED,Claude/Release,F0,.gitignore,manual review,.gitignore,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-ENVEXAMPLE-01,VERIFIED,Claude/Release,F0,.env.example,secret scan,.env.example,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-LINT-01,VERIFIED,Claude/Release,F0,package.json scripts;Makefile,npm run schema:validate,release-evidence/r1 (see Phase Log),,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-CI-01,IMPLEMENTED / UNVERIFIED,Claude/Release,F0,.github/workflows/ci.yml;scripts/py-verify.sh;package.json (verify:py),"manual review only - CI has never actually run on a remote GitHub Actions runner; locally re-verified: npm ci + npm run verify (single canonical job, Python 3.14.4 matching G0 lock, no || true)",".github/workflows/ci.yml; historical successful remote run: https://github.com/ometere123/reclose/actions/runs/34464357895 (commit 043d913, prior audit target c7ace03 state - superseded by this remediation, a NEW successful run is required against the new audit target before F0-CI-01 may become VERIFIED)",TM-INF-004,a new remote CI run has not yet succeeded against the A0-final-remediated audit target commit,fbf168d29656dcb18b552ce9ef1de88e88ed9b78,2026-09-10
F0-DISCOVERY-01,VERIFIED,Claude/Protocol,F0,scripts/list-deployable-contracts.js;scripts/test-list-deployable-contracts.js,node scripts/list-deployable-contracts.js; node scripts/test-list-deployable-contracts.js (8/8 automated boundary tests),docs/execution/Phase Log.md,TM-AUTH-009,,82b0d7ce50ad3db62aaa34b677bd6d8927dd7b25,2026-09-10
F0-MANIFEST-01,VERIFIED,Claude/Release,F0,deployment/manifest.schema.json,manual schema review,deployment/manifest.schema.json,TM-INF-010,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-EVIDENCE-01,VERIFIED,Claude/Release,F0,release-evidence/r1/*,directory listing,docs/execution/Phase Log.md,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F0-SECRETS-01,VERIFIED,Claude/Release,F0,,repo-wide secret grep scan,docs/execution/Phase Log.md,TM-INF-006,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,2026-09-10
F1-TYPES-01,VERIFIED,Claude/Frontend,F1,"packages/protocol-sdk/src/types.ts (compiled TypeScript, not just schemas/Markdown - A0-T1); schemas/ (19 files)","npm run typecheck (real tsc --noEmit against packages/protocol-sdk, including @ts-expect-error negative fixtures in src/__typetests__/)",docs/execution/Frontend Contract v1.md,,,c125fe483647206ce7aa7647fa1fc7e864ab0f5d,2026-09-10
F1-SDK-01,IMPLEMENTED / UNVERIFIED,Claude/SDK,F1,"packages/protocol-sdk/src/sdk.ts (compiled type-only RecloseSDK interface, 14 methods incl. getDecisionView)",npm run typecheck (compiles); no runtime implementation yet (C1+ scope) - correctly remains IMPLEMENTED / UNVERIFIED,docs/execution/Frontend Contract v1.md,,,c125fe483647206ce7aa7647fa1fc7e864ab0f5d,2026-09-10
F1-FIXTURES-01,VERIFIED,Claude/QA,F1,tests/frontend-fixtures/ (43 files),npm run schema:validate (43/43 pass),tests/frontend-fixtures/manifest.json,,,fbf168d29656dcb18b552ce9ef1de88e88ed9b78,2026-09-10
